# source: Table of dates 172–221 B.E. accompanying implementation guidance for the Badí‘ calendar
# publisher: Universal House of Justice / National Spiritual Assembly of the Bahá’ís of New Zealand
# url: https://guidelines.bahai.org.nz/wp-content/uploads/2022/07/GLSA-08-Holy-Days.pdf
# accessed: 2026-08-03
# license: redistribution rights unclear — transcribed facts only
# notes: 550 rows. Naw-Rúz and Twin Birthdays are transcribed from the 50-year table. The other eight holy days use the source’s own conditional date table (20-March versus 21-March Naw-Rúz); no astronomical generation was performed.
# verification: bodu 2026-08-03 — 550 rows = 50 years x 11 ids; fixed holy days at uniform Badi offsets from Naw-Ruz (+31/+39/+42/+64/+69/+111/+250/+252); Naw-Ruz always 20/21 Mar; Twin Birthdays consecutive within 14 Oct-14 Nov; Birth of the Bab within 1 day of (8th new moon after Naw-Ruz, Tehran) + 1 day for all 50 years (tools/verify-bahai-poya-vectors.py); matches the committed 2025 exact and 2026 (183 B.E.) test anchors 7/7.
# columns: be_year,gregorian_year,holy_day_id,gregorian_date
be_year,gregorian_year,holy_day_id,gregorian_date
182,2025,declaration-of-the-bab,2025-05-23
182,2025,ascension-of-bahaullah,2025-05-28
182,2025,martyrdom-of-the-bab,2025-07-09
182,2025,day-of-the-covenant,2025-11-25
182,2025,ascension-of-abdul-baha,2025-11-27
182,2025,birth-of-the-bab,2025-10-22
182,2025,birth-of-bahaullah,2025-10-23
183,2026,naw-ruz,2026-03-21
183,2026,first-day-of-ridvan,2026-04-21
183,2026,ninth-day-of-ridvan,2026-04-29
183,2026,twelfth-day-of-ridvan,2026-05-02
183,2026,declaration-of-the-bab,2026-05-24
183,2026,ascension-of-bahaullah,2026-05-29
183,2026,martyrdom-of-the-bab,2026-07-10
183,2026,day-of-the-covenant,2026-11-26
183,2026,ascension-of-abdul-baha,2026-11-28
183,2026,birth-of-the-bab,2026-11-10
183,2026,birth-of-bahaullah,2026-11-11
184,2027,naw-ruz,2027-03-21
184,2027,first-day-of-ridvan,2027-04-21
184,2027,ninth-day-of-ridvan,2027-04-29
184,2027,twelfth-day-of-ridvan,2027-05-02
184,2027,declaration-of-the-bab,2027-05-24
184,2027,ascension-of-bahaullah,2027-05-29
184,2027,martyrdom-of-the-bab,2027-07-10
184,2027,day-of-the-covenant,2027-11-26
184,2027,ascension-of-abdul-baha,2027-11-28
184,2027,birth-of-the-bab,2027-10-30
184,2027,birth-of-bahaullah,2027-10-31
185,2028,naw-ruz,2028-03-20
185,2028,first-day-of-ridvan,2028-04-20
185,2028,ninth-day-of-ridvan,2028-04-28
185,2028,twelfth-day-of-ridvan,2028-05-01
185,2028,declaration-of-the-bab,2028-05-23
185,2028,ascension-of-bahaullah,2028-05-28
185,2028,martyrdom-of-the-bab,2028-07-09
185,2028,day-of-the-covenant,2028-11-25
185,2028,ascension-of-abdul-baha,2028-11-27
185,2028,birth-of-the-bab,2028-10-19
185,2028,birth-of-bahaullah,2028-10-20
186,2029,naw-ruz,2029-03-20
186,2029,first-day-of-ridvan,2029-04-20
186,2029,ninth-day-of-ridvan,2029-04-28
186,2029,twelfth-day-of-ridvan,2029-05-01
186,2029,declaration-of-the-bab,2029-05-23
186,2029,ascension-of-bahaullah,2029-05-28
186,2029,martyrdom-of-the-bab,2029-07-09
186,2029,day-of-the-covenant,2029-11-25
186,2029,ascension-of-abdul-baha,2029-11-27
186,2029,birth-of-the-bab,2029-11-07
186,2029,birth-of-bahaullah,2029-11-08
187,2030,naw-ruz,2030-03-20
187,2030,first-day-of-ridvan,2030-04-20
187,2030,ninth-day-of-ridvan,2030-04-28
187,2030,twelfth-day-of-ridvan,2030-05-01
187,2030,declaration-of-the-bab,2030-05-23
187,2030,ascension-of-bahaullah,2030-05-28
187,2030,martyrdom-of-the-bab,2030-07-09
187,2030,day-of-the-covenant,2030-11-25
187,2030,ascension-of-abdul-baha,2030-11-27
187,2030,birth-of-the-bab,2030-10-28
187,2030,birth-of-bahaullah,2030-10-29
188,2031,naw-ruz,2031-03-21
188,2031,first-day-of-ridvan,2031-04-21
188,2031,ninth-day-of-ridvan,2031-04-29
188,2031,twelfth-day-of-ridvan,2031-05-02
188,2031,declaration-of-the-bab,2031-05-24
188,2031,ascension-of-bahaullah,2031-05-29
188,2031,martyrdom-of-the-bab,2031-07-10
188,2031,day-of-the-covenant,2031-11-26
188,2031,ascension-of-abdul-baha,2031-11-28
188,2031,birth-of-the-bab,2031-10-17
188,2031,birth-of-bahaullah,2031-10-18
189,2032,naw-ruz,2032-03-20
189,2032,first-day-of-ridvan,2032-04-20
189,2032,ninth-day-of-ridvan,2032-04-28
189,2032,twelfth-day-of-ridvan,2032-05-01
189,2032,declaration-of-the-bab,2032-05-23
189,2032,ascension-of-bahaullah,2032-05-28
189,2032,martyrdom-of-the-bab,2032-07-09
189,2032,day-of-the-covenant,2032-11-25
189,2032,ascension-of-abdul-baha,2032-11-27
189,2032,birth-of-the-bab,2032-11-04
189,2032,birth-of-bahaullah,2032-11-05
190,2033,naw-ruz,2033-03-20
190,2033,first-day-of-ridvan,2033-04-20
